nama_kos,kecamatan,tipe_penghuni,harga_bulanan,harga_promo,diskon,rating,dilihat,sisa_kamar,daftar_tunggu,n_fasilitas,ada_km_dalam,ada_km_luar,ada_ac,ada_wifi,ada_kasur,ada_lemari,ada_meja,ada_kursi,ada_kloset_duduk,ada_akses_24jam,ada_listrik,ada_kulkas,ada_tv,ada_dapur,sumber,teks_asli
Kost Holistay 1 Standard,Sukolilo,Campur,1600000,,,,90,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 90 kali Campur Ikut Daftar Tunggu Kost Holistay 1 Standard Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.600.000 /bulan
Kost Pancasila Tipe C,Sukolilo,Putri,800000,,,,,,1,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Pancasila Tipe C Sukolilo WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp800.000 /bulan
Kost Bratang Gede 6E Tipe B,Wonokromo,Putri,1200000,,,,67,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 67 kali Putri Ikut Daftar Tunggu Kost Bratang Gede 6E Tipe B Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.200.000 /bulan
Kost Ferkyta Tipe A,Wonokromo,Putra,1100000,,,5.0,123,,1,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 123 kali Putra Ikut Daftar Tunggu Kost Ferkyta Tipe A Wonokromo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam 5.0 Rp1.100.000 /bulan
Kost Manyar Tipe B,Sukolilo,Putri,700000,,,,,,1,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Manyar Tipe B Sukolilo WiFi·Kloset Duduk·Kasur Rp700.000 /bulan
Kost Holistay 1 Superior B,Sukolilo,Campur,1700000,,,,,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Campur Ikut Daftar Tunggu Kost Holistay 1 Superior B Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.700.000 /bulan
Kost Bu Yana Vvip,Gubeng,Campur,1400000,,,,57,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 57 kali Campur Ikut Daftar Tunggu Kost Bu Yana Vvip Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.400.000 /bulan
Kost Semolowaru Praja Tipe Ac Reguler Lt 2,Sukolilo,Putri,1400000,,,,,,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Semolowaru Praja Tipe Ac Reguler Lt 2 Kecamatan Sukolilo WiFi·AC·Kasur Rp1.400.000 /bulan
Kost Minimalist Tipe B,Sukolilo,Putri,750000,,,,86,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 86 kali Putri Sisa 1 kamar Kost Minimalist Tipe B Kecamatan Sukolilo WiFi·Kasur Rp750.000 /bulan
Kost Pumpungan IV 25 Tipe Studio,Sukolilo,Putri,1500001,,,,,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Pumpungan IV 25 Tipe Studio Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.500.001 /bulan
Kost Krukah 1 Tipe A,Gubeng,Putri,500000,,,,240,,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 240 kali Putri Ikut Daftar Tunggu Kost Krukah 1 Tipe A Kecamatan Gubeng Kasur·Akses 24 Jam Rp500.000 /bulan
Kost Sone Laundry Tipe C,Sukolilo,Putra,800000,,,,70,,1,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 70 kali Putra Ikut Daftar Tunggu Kost Sone Laundry Tipe C Kecamatan Sukolilo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp800.000 /bulan
Kost Semolowaru Praja Tipe Ac Kmd,Sukolilo,Putri,1550000,,,,,,1,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Semolowaru Praja Tipe Ac Kmd Kecamatan Sukolilo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur Rp1.550.000 /bulan
Kost Griya Suya Tipe Premium Ac,Sukolilo,Putri,1200000,,,,,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Griya Suya Tipe Premium Ac Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.200.000 /bulan
Kost Mi Casa Tipe B,Wonokromo,Putra,750000,,,,339,,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 339 kali Putra Ikut Daftar Tunggu Kost Mi Casa Tipe B Kecamatan Wonokromo WiFi·Kasur·Akses 24 Jam Rp750.000 /bulan
Kost Kibar 43 Tipe B,Wonokromo,Putri,1400000,,,,63,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 63 kali Putri Ikut Daftar Tunggu Kost Kibar 43 Tipe B Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.400.000 /bulan
Kost IV Tipe B,Sukolilo,Putri,750000,,,,,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost IV Tipe B Sukolilo WiFi·Kasur Rp750.000 /bulan
Kost Bu Yana Tipe A,Gubeng,Campur,1400000,,,,,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Campur Ikut Daftar Tunggu Kost Bu Yana Tipe A Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost La Koste Unair 26 Tipe A,Gubeng,Putra,1950000,,,,228,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 228 kali Putra Ikut Daftar Tunggu Kost La Koste Unair 26 Tipe A Kecamatan Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.950.000 /bulan
Kost Bu Yana VVIP 3,Gubeng,Putra,1200000,,,,109,,1,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 109 kali Putra Ikut Daftar Tunggu Kost Bu Yana VVIP 3 Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.200.000 /bulan
Kost Hijau Bu Made,Wonokromo,Putri,900001,,,,493,,1,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 493 kali Putri Ikut Daftar Tunggu Kost Hijau Bu Made Wonokromo WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp900.001 /bulan
Kost Sone Laundry Tipe A,Sukolilo,Putra,1400000,,,,234,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 234 kali Putra Ikut Daftar Tunggu Kost Sone Laundry Tipe A Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost Ferkyta Tipe B,Wonokromo,Putra,1000000,,,5.0,,,1,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Ferkyta Tipe B Wonokromo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam 5.0 Rp1.000.000 /bulan
Kost Bu Sulimah,Sukolilo,Putra,450000,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Bu Sulimah Kecamatan Sukolilo Kasur Rp450.000 /bulan
Kost Pumpungan IV 25 Deluxe,Sukolilo,Putri,1000000,,,,,,1,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Pumpungan IV 25 Deluxe Kecamatan Sukolilo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur Rp1.000.000 /bulan
Kost Bapak Eko Dan Bu Gendut,Gubeng,Campur,900000,,,,,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Campur Sisa 1 kamar Kost Bapak Eko Dan Bu Gendut Gubeng WiFi·Kasur Rp900.000 /bulan
Kost Edu 3 Executive,Gubeng,Putri,1300000,,,,,,1,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Edu 3 Executive Kecamatan Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.300.000 /bulan
Kost Bratang Gede 6D,Wonokromo,Putri,980000,,,4.0,92,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 92 kali Putri Ikut Daftar Tunggu Kost Bratang Gede 6D Wonokromo WiFi·Kasur 4.0 Rp980.000 /bulan
Kost Mommy,Rungkut,Putra,1000000,,,5.0,203,,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 203 kali Putra Kost Mommy Kecamatan Rungkut K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur 5.0 Rp1.000.000 /bulan
Kost Novan 12,Gubeng,Putra,1500000,,,,296,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 296 kali Putra Ikut Daftar Tunggu Kost Novan 12 Kecamatan Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.500.000 /bulan
Kost Pumpungan IV 25 Tipe Mantap Jiwa,Sukolilo,Putri,975000,,,,,,1,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Pumpungan IV 25 Tipe Mantap Jiwa Kecamatan Sukolilo WiFi·AC·Kloset Duduk·Kasur Rp975.000 /bulan
Kost Bhinneka Ngagel Tipe D,Wonokromo,Campur,1300000,,,,325,1,0,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 325 kali Campur Sisa 1 kamar Kost Bhinneka Ngagel Tipe D Kecamatan Wonokromo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp1.300.000 /bulan
Kost Novan G1,Tenggilis Mejoyo,Putra,1050000,,,4.4,79,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 79 kali Putra Ikut Daftar Tunggu Kost Novan G1 Kecamatan Tenggilis Mejoyo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam 4.4 Rp1.050.000 /bulan
Kost Bratang Gede 6E Tipe 1,Wonokromo,Putri,1300000,,,5.0,220,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 220 kali Putri Ikut Daftar Tunggu Kost Bratang Gede 6E Tipe 1 Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur 5.0 Rp1.300.000 /bulan
Kost Pumpungan IV Tipe Premium B,Sukolilo,Putri,775000,,,,,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Pumpungan IV Tipe Premium B Kecamatan Sukolilo WiFi·Kasur Rp775.000 /bulan
Kost Kamda BMU Tipe A Standart Balcony,Wonocolo,Putri,2400000,,,,,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Kamda BMU Tipe A Standart Balcony Kecamatan Wonocolo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp2.400.000 /bulan
Kost Ubaya Mega,Rungkut,Campur,1000000,,,,500,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Campur Ikut Daftar Tunggu Kost Ubaya Mega Rungkut K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.000.000 /bulan
Kost BMU 834 Tipe A,Wonocolo,Putri,1500000,,,,,,1,5,1,0,1,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost BMU 834 Tipe A Kecamatan Wonocolo K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam Rp1.500.000 /bulan
Kost Edu Baratajaya,Gubeng,Putri,1200000,,,,,,1,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Edu Baratajaya Gubeng WiFi·AC·Kloset Duduk·Kasur Rp1.200.000 /bulan
Kost Yura Tipe Vip,Wonokromo,Campur,1500000,,,,421,2,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 421 kali Campur Sisa 2 kamar Kost Yura Tipe Vip Wonokromo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.500.000 /bulan
Kost Risnoe Tipe A,Wonokromo,Putra,575000,,,,210,,1,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 210 kali Putra Ikut Daftar Tunggu Kost Risnoe Tipe A Wonokromo WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp575.000 /bulan
Kost Executive Tipe A,Wonocolo,Campur,1100000,,,,222,,1,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 222 kali Campur Ikut Daftar Tunggu Kost Executive Tipe A Wonocolo K. Mandi Dalam·AC·Kloset Duduk·Kasur Rp1.100.000 /bulan
Kost Warata,Wonokromo,Putra,1100000,,,4.6,64,,1,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 64 kali Putra Ikut Daftar Tunggu Kost Warata Kecamatan Wonokromo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam 4.6 Rp1.100.000 /bulan
Kost Harmoni Nusantara,Wonokromo,Putri,1000000,,,,144,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 144 kali Putri Ikut Daftar Tunggu Kost Harmoni Nusantara Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.000.000 /bulan
Kost Jl Ngagel Jaya Tengah Tipe A,Gubeng,Campur,1150000,,,,143,,1,5,1,0,1,1,0,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 143 kali Campur Ikut Daftar Tunggu Kost Jl Ngagel Jaya Tengah Tipe A Kecamatan Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Akses 24 Jam Rp1.150.000 /bulan
Kost Pink Nginden II Tipe C,Sukolilo,Putri,550000,,,,61,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 61 kali Putri Ikut Daftar Tunggu Kost Pink Nginden II Tipe C Kecamatan Sukolilo WiFi·Kasur Rp550.000 /bulan
Kost Razky Tipe A,Sukolilo,Putra,800000,,,,80,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 80 kali Putra Ikut Daftar Tunggu Kost Razky Tipe A Sukolilo WiFi·Kasur Rp800.000 /bulan
Kost Arunala Co Living Tipe A,Wonocolo,Putri,1700000,,,,80,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 80 kali Putri Ikut Daftar Tunggu Kost Arunala Co Living Tipe A Wonocolo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.700.000 /bulan
Kost Amanah Ngagel Wasana Tipe C,Gubeng,Putra,1000000,,,,,,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Amanah Ngagel Wasana Tipe C Gubeng WiFi·Kasur·Akses 24 Jam Rp1.000.000 /bulan
Kost Kusuma Bratang Gede VI Tipe A,Wonokromo,Campur,1800000,,,,80,,1,5,1,0,1,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 80 kali Campur Ikut Daftar Tunggu Kost Kusuma Bratang Gede VI Tipe A Wonokromo K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam Rp1.800.000 /bulan
Kost Umar,Sukolilo,Putri,600000,,,,360,,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 360 kali Putri Ikut Daftar Tunggu Kost Umar Sukolilo WiFi·Kasur·Akses 24 Jam Rp600.000 /bulan
Kost Amanah Ngagal Wasana Tipe A,Gubeng,Putra,600000,,,,,,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Amanah Ngagal Wasana Tipe A Gubeng WiFi·Kasur·Akses 24 Jam Rp600.000 /bulan
Kost Eksklusif Ngagel Tipe D,Wonokromo,Campur,2300000,,,,102,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 102 kali Campur Ikut Daftar Tunggu Kost Eksklusif Ngagel Tipe D Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.300.000 /bulan
Kost Jl Ngagel Jaya Tengah Tipe B,Gubeng,Campur,852000,,,,72,,1,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 72 kali Campur Ikut Daftar Tunggu Kost Jl Ngagel Jaya Tengah Tipe B Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp852.000 /bulan
Kost Arunala Co Living Tipe B,Wonocolo,Putri,1900000,,,,,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Arunala Co Living Tipe B Wonocolo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.900.000 /bulan
Kost Beth Tipe D,Wonokromo,Putra,1100000,,,,72,,1,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 72 kali Putra Ikut Daftar Tunggu Kost Beth Tipe D Kecamatan Wonokromo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.100.000 /bulan
Kost Ngagel Jaya Tengah Tipe C2,Gubeng,Campur,900000,,,,134,,1,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 134 kali Campur Ikut Daftar Tunggu Kost Ngagel Jaya Tengah Tipe C2 Kecamatan Gubeng WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp900.000 /bulan
Kost Bu Wati Tipe Comfort,Gubeng,Campur,1350000,,,4.4,500,2,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Campur Sisa 2 kamar Kost Bu Wati Tipe Comfort Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam 4.4 Rp1.350.000 /bulan
Kost Panjang Jiwo Permai,Tenggilis Mejoyo,Putri,850000,,,,410,3,0,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 410 kali Putri Sisa 3 kamar Kost Panjang Jiwo Permai Kecamatan Tenggilis Mejoyo WiFi·AC·Kloset Duduk·Kasur Rp850.000 /bulan
Kost Sidosermo 1,Wonocolo,Putri,1050000,,,,347,1,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 347 kali Putri Sisa 1 kamar Kost Sidosermo 1 Kecamatan Wonocolo K. Mandi Dalam·Kasur·Akses 24 Jam Rp1.050.000 /bulan
Kost Barata Jaya 33 Tipe A,Gubeng,Putri,550000,,,,92,2,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 92 kali Putri Sisa 2 kamar Kost Barata Jaya 33 Tipe A Kecamatan Gubeng WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp550.000 /bulan
Kost Bu Noer,Wonokromo,Putra,350000,,,,500,1,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putra Sisa 1 kamar Kost Bu Noer Kecamatan Wonokromo WiFi·Kasur·Akses 24 Jam Rp350.000 /bulan
Kost Ngagel Madya I,Gubeng,Putra,1500000,,,,456,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 456 kali Putra Sisa 1 kamar Kost Ngagel Madya I Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.500.000 /bulan
Kost HJM Eksklusif,Wonokromo,Putra,1400000,,,,109,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 109 kali Putra Sisa 1 kamar Kost HJM Eksklusif Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost Barata Jaya 1C,Gubeng,Putra,1500000,,,,107,1,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 107 kali Putra Sisa 1 kamar Kost Barata Jaya 1C Kecamatan Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.500.000 /bulan
Kost Pandega Citrabangsa Tipe Biasa,Sukolilo,Putri,500000,,,,500,,0,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putri Kost Pandega Citrabangsa Tipe Biasa Kecamatan Sukolilo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp500.000 /bulan
Kost Luxury Graha Indah Tipe Executive,Wonokromo,Campur,1700000,,,,404,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 404 kali Campur Kost Luxury Graha Indah Tipe Executive Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.700.000 /bulan
Kost Hana Tipe A,Tenggilis Mejoyo,Putri,950000,,,,193,,0,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 193 kali Putri Kost Hana Tipe A Kecamatan Tenggilis Mejoyo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur Rp950.000 /bulan
Kost Pumpungan,Sukolilo,Putri,725000,,,,257,2,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 257 kali Putri Sisa 2 kamar Kost Pumpungan Kecamatan Sukolilo WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp725.000 /bulan
Kost Nginden Intan Utara Tipe A,Sukolilo,Campur,800000,,,,308,,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 308 kali Campur Kost Nginden Intan Utara Tipe A Sukolilo Kloset Duduk·Kasur·Akses 24 Jam Rp800.000 /bulan
Kost Ngagel Vl,Gubeng,Putri,1300000,,,,485,1,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 485 kali Putri Sisa 1 kamar Kost Ngagel Vl Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.300.000 /bulan
Kost Tesere Manyar Indah,Sukolilo,Putri,1675000,,,,126,,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 126 kali Putri Kost Tesere Manyar Indah Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kasur Rp1.675.000 /bulan
Kost Eko,Sukolilo,Putri,575000,,,,,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Sisa 3 kamar Kost Eko Kecamatan Sukolilo WiFi·Kasur Rp575.000 /bulan
Kost Achmad Raihan Tipe Ac,Wonokromo,Putri,1000000,,,,336,1,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 336 kali Putri Sisa 1 kamar Kost Achmad Raihan Tipe Ac Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.000.000 /bulan
Kost Raudhah In Tipe 3,Wonokromo,Putri,1500000,,,,198,1,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 198 kali Putri Sisa 1 kamar Kost Raudhah In Tipe 3 Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.500.000 /bulan
Kost Brajarani Lima Sepuluh Tipe A,Gubeng,Putri,1300000,,,,80,1,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 80 kali Putri Sisa 1 kamar Kost Brajarani Lima Sepuluh Tipe A Kecamatan Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.300.000 /bulan
Kost Dede Executive,Wonokromo,Putri,1550000,,,,462,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 462 kali Putri Sisa 1 kamar Kost Dede Executive Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.550.000 /bulan
Kost Hakare Bendul Tipe Standart,Wonocolo,Campur,2000000,,,,,1,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Campur Sisa 1 kamar Kost Hakare Bendul Tipe Standart Kecamatan Wonocolo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.000.000 /bulan
Kost Hakare Bendul Tipe Standar,Wonocolo,Campur,1600000,,,,186,3,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 186 kali Campur Sisa 3 kamar Kost Hakare Bendul Tipe Standar Wonocolo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.600.000 /bulan
Kost Nginden Intan Utara Tipe Tertib,Sukolilo,Campur,753000,,,,500,,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Campur Kost Nginden Intan Utara Tipe Tertib Sukolilo Kloset Duduk·Kasur·Akses 24 Jam Rp753.000 /bulan
Kost Amanah Ngagal Wasana Tipe B,Gubeng,Putra,650000,,,5.0,147,1,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 147 kali Putra Sisa 1 kamar Kost Amanah Ngagal Wasana Tipe B Kecamatan Gubeng Kloset Duduk·Kasur·Akses 24 Jam 5.0 Rp650.000 /bulan
Kost Bratang Tipe B,Wonokromo,Putri,725000,,,5.0,128,1,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 128 kali Putri Sisa 1 kamar Kost Bratang Tipe B Wonokromo WiFi·Kasur·Akses 24 Jam 5.0 Rp725.000 /bulan
Kost Ladeaa 776 Tipe Standar,Wonokromo,Putra,1500000,,,,77,1,0,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 77 kali Putra Sisa 1 kamar Kost Ladeaa 776 Tipe Standar Kecamatan Wonokromo WiFi·AC·Kloset Duduk·Kasur Rp1.500.000 /bulan
Kost Pink Nginden II Tipe Non Ac,Sukolilo,Putri,650000,,,,149,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 149 kali Putri Sisa 1 kamar Kost Pink Nginden II Tipe Non Ac Kecamatan Sukolilo WiFi·Kasur Rp650.000 /bulan
