nama_kos,kecamatan,tipe_penghuni,harga_bulanan,harga_promo,diskon,rating,dilihat,sisa_kamar,daftar_tunggu,n_fasilitas,ada_km_dalam,ada_km_luar,ada_ac,ada_wifi,ada_kasur,ada_lemari,ada_meja,ada_kursi,ada_kloset_duduk,ada_akses_24jam,ada_listrik,ada_kulkas,ada_tv,ada_dapur,sumber,teks_asli
Kost Fadilla Tipe A,Rungkut,Putri,650000,,,,401,,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 401 kali Putri Kost Fadilla Tipe A Rungkut WiFi·Kasur·Akses 24 Jam Rp650.000 /bulan
Kost Jack And Jill Executive,Rungkut,Campur,1650000,,,,358,2,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 358 kali Campur Sisa 2 kamar Kost Jack And Jill Executive Kecamatan Rungkut K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.650.000 /bulan
Kost Denaya Vip,Gubeng,Campur,2000000,,,,500,2,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Campur Sisa 2 kamar Kost Denaya Vip Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.000.000 /bulan
Kost Nginden Intan Tipe Executive,Sukolilo,Campur,2200000,,,4.4,123,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 123 kali Campur Kost Nginden Intan Tipe Executive Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam 4.4 Rp2.200.000 /bulan
Kost Nginden Intan Tipe Vip,Sukolilo,Campur,2200000,,,,197,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 197 kali Campur Kost Nginden Intan Tipe Vip Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.200.000 /bulan
Kost Syariah Kurnia Tipe Standar,Sukolilo,Putri,680000,,,,365,,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 365 kali Putri Kost Syariah Kurnia Tipe Standar Sukolilo WiFi·Kasur Rp680.000 /bulan
Kost Graha Aashritha 1,Sukolilo,Campur,3250000,,,,255,1,0,5,1,0,1,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 255 kali Campur Sisa 1 kamar Kost Graha Aashritha 1 Kecamatan Sukolilo K. Mandi Dalam·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp3.250.000 /bulan
Kost Ucik Nginden Tengah,Sukolilo,Putra,1250000,,,,245,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 245 kali Putra Sisa 1 kamar Kost Ucik Nginden Tengah Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.250.000 /bulan
Kost Ucik,Sukolilo,Putri,1300000,,,,128,2,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 128 kali Putri Sisa 2 kamar Kost Ucik Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.300.000 /bulan
Kost Bungtomo11,Gubeng,Campur,1300000,,,,500,1,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Campur Sisa 1 kamar Kost Bungtomo11 Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.300.000 /bulan
Kost Prapen Indah Tipe Eksekutif,Tenggilis Mejoyo,Campur,3000000,,,,,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Campur Sisa 1 kamar Kost Prapen Indah Tipe Eksekutif Tenggilis Mejoyo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp3.000.000 /bulan
Kost Kamda BMU Tipe A,Wonocolo,Putri,1900000,,,,109,1,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 109 kali Putri Sisa 1 kamar Kost Kamda BMU Tipe A Kecamatan Wonocolo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.900.000 /bulan
Kost Manyar Tipe A,Sukolilo,Campur,3000000,,,,,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Campur Kost Manyar Tipe A Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp3.000.000 /bulan
Kost Omah Ndoro Syariah Superior,Sukolilo,Campur,2300000,,,,208,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 208 kali Campur Kost Omah Ndoro Syariah Superior Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.300.000 /bulan
Kost Untag Tipe Standar,Sukolilo,Putri,800000,,,,62,2,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 62 kali Putri Sisa 2 kamar Kost Untag Tipe Standar Sukolilo WiFi·Kloset Duduk·Kasur Rp800.000 /bulan
Kost Adem Ayem Tipe Standar,Wonokromo,Putri,600000,,,,177,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 177 kali Putri Sisa 2 kamar Kost Adem Ayem Tipe Standar Wonokromo Kloset Duduk·Kasur Rp600.000 /bulan
Kost Pancasila Tipe B,Sukolilo,Putri,1250000,,,,147,1,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 147 kali Putri Sisa 1 kamar Kost Pancasila Tipe B Sukolilo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.250.000 /bulan
Kost Griya Suya Tipe Standard Non Ac,Sukolilo,Putri,900000,,,,339,3,0,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 339 kali Putri Sisa 3 kamar Kost Griya Suya Tipe Standard Non Ac Sukolilo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur Rp900.000 /bulan
Kost Jnj Living Tipe Eksklusif,Rungkut,Campur,1850000,,,,108,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 108 kali Campur Kost Jnj Living Tipe Eksklusif Rungkut K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.850.000 /bulan
Kost Pumpungan IV Tipe Premium A,Sukolilo,Putri,975000,,,,296,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 296 kali Putri Sisa 1 kamar Kost Pumpungan IV Tipe Premium A Kecamatan Sukolilo WiFi·AC·Kasur Rp975.000 /bulan
Kost Jnj Living Rs Ubaya Tipe Ekslusif,Rungkut,Campur,1850000,,,,205,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 205 kali Campur Kost Baru Jnj Living Rs Ubaya Tipe Ekslusif Rungkut K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.850.000 /bulan
Kost J&j Living Tipe Eksklusif,Rungkut,Campur,1850000,,,,74,,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 74 kali Campur Kost J&j Living Tipe Eksklusif Rungkut K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Promo Grand Opening Rp1.850.000 /bulan
Kost Semolowaru Praja Tipe A,Sukolilo,Putri,950000,,,,101,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 101 kali Putri Sisa 1 kamar Kost Semolowaru Praja Tipe A Kecamatan Sukolilo WiFi·Kasur Rp950.000 /bulan
Kost Asiyah 1 Tipe B,Sukolilo,Putri,825000,,,,,1,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Sisa 1 kamar Kost Asiyah 1 Tipe B Kecamatan Sukolilo WiFi·Kloset Duduk·Kasur Rp825.000 /bulan
Kost Manyar Rejo I Tipe A,Sukolilo,Putri,1200000,,,,405,2,0,5,1,0,1,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 405 kali Putri Sisa 2 kamar Kost Manyar Rejo I Tipe A Kecamatan Sukolilo K. Mandi Dalam·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.200.000 /bulan
Kost Pumpungan IV 25 Tipe Mantap,Sukolilo,Putri,775000,,,,361,2,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 361 kali Putri Sisa 2 kamar Kost Pumpungan IV 25 Tipe Mantap Kecamatan Sukolilo WiFi·Kloset Duduk·Kasur Rp775.000 /bulan
Kost Dwi Aningsih Tipe A,Tenggilis Mejoyo,Putri,575000,,,,281,1,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 281 kali Putri Sisa 1 kamar Kost Dwi Aningsih Tipe A Kecamatan Tenggilis Mejoyo WiFi·Kasur·Akses 24 Jam Rp575.000 /bulan
